,00h_area_mean,00h_area_std,00h_axis_major_length_mean,00h_axis_major_length_std,00h_euler_number_mean,00h_euler_number_std,00h_extent_mean,00h_extent_std,00h_inertia_tensor_eigvals-0_mean,00h_inertia_tensor_eigvals-0_std,00h_inertia_tensor_eigvals-1_mean,00h_inertia_tensor_eigvals-1_std,00h_inertia_tensor_eigvals-2_mean,00h_inertia_tensor_eigvals-2_std,00h_solidity_mean,00h_solidity_std,12h_area_mean,12h_area_std,12h_axis_major_length_mean,12h_axis_major_length_std,12h_euler_number_mean,12h_euler_number_std,12h_extent_mean,12h_extent_std,12h_inertia_tensor_eigvals-0_mean,12h_inertia_tensor_eigvals-0_std,12h_inertia_tensor_eigvals-1_mean,12h_inertia_tensor_eigvals-1_std,12h_inertia_tensor_eigvals-2_mean,12h_inertia_tensor_eigvals-2_std,12h_solidity_mean,12h_solidity_std,24h_area_mean,24h_area_std,24h_axis_major_length_mean,24h_axis_major_length_std,24h_euler_number_mean,24h_euler_number_std,24h_extent_mean,24h_extent_std,24h_inertia_tensor_eigvals-0_mean,24h_inertia_tensor_eigvals-0_std,24h_inertia_tensor_eigvals-1_mean,24h_inertia_tensor_eigvals-1_std,24h_inertia_tensor_eigvals-2_mean,24h_inertia_tensor_eigvals-2_std,24h_solidity_mean,24h_solidity_std,36h_area_mean,36h_area_std,36h_axis_major_length_mean,36h_axis_major_length_std,36h_euler_number_mean,36h_euler_number_std,36h_extent_mean,36h_extent_std,36h_inertia_tensor_eigvals-0_mean,36h_inertia_tensor_eigvals-0_std,36h_inertia_tensor_eigvals-1_mean,36h_inertia_tensor_eigvals-1_std,36h_inertia_tensor_eigvals-2_mean,36h_inertia_tensor_eigvals-2_std,36h_solidity_mean,36h_solidity_std
46,1.982541115402065e-18,1.0,6.740639792367021e-17,1.0000000000000002,5.0224374923518987e-17,0.9999999999999997,-7.097497193139394e-16,1.0,-4.031166934650866e-17,1.0,-7.93016446160826e-18,0.9999999999999999,1.9825411154020653e-17,1.0,-2.854859206178974e-16,1.0,11.964596389119777,0.0,6.555929895887213,0.0,-548.8418145999233,0.0,0.39302311757740027,0.0,7.073392176102125,0.0,6.810210501751643,0.0,7.366504940890005,0.0,0.9069068889820624,0.0,-0.1427912692615543,0.3213504885966729,-0.2935726600795091,0.32542556215038004,-1.8894086540830055,43.830184703809685,0.6080682471542579,1.4703575650420075,-0.14632311287831282,0.31724242618342957,-0.14820007093417004,0.32882074847642123,-0.14434214658318228,0.3044581606709068,-0.5572082770251177,0.3605826889306262,10.49123625270749,0.0,6.564151529877079,0.0,-581.4857627825928,0.0,-0.12334105487884427,0.0,6.969457870944046,0.0,6.826398287129156,0.0,7.1286810753684655,0.0,0.38401483601347813,0.0
47,0.0,1.0000000000000002,-4.625929269271486e-17,0.9999999999999999,-9.251858538542972e-17,1.0,-4.76470714734963e-16,1.0,1.850371707708594e-17,1.0000000000000002,2.7755575615628914e-17,0.9999999999999999,0.0,0.9999999999999998,1.942890293094024e-16,1.0,38.244462803196996,0.0,7.380716536967954,0.0,-1250.6777122257517,0.0,0.2640260301268462,0.0,15.360705893300516,0.0,8.635402235070963,0.0,61.661285294587216,0.0,0.40743151815722034,0.0,-0.11436804592249859,1.061996408495586,-0.3433415342677395,0.32458520208792946,-4.050434926830488,104.4919344461999,0.8775674429572835,1.1803135649177998,-0.1454277170582257,0.6180429936839278,-0.15358426570720746,0.3705428187937375,-0.07658751782593898,2.3173477714794473,-0.5699256468266354,0.32927453271219453,-0.10817867756336595,1.1167841792362039,-0.35114384503184504,0.3509031965401399,-5.7383128378810495,134.20819770899791,1.12194941735455,1.0273743634191825,-0.14057821934402065,0.6832215264729111,-0.1511489082791032,0.40037594828574585,-0.055132121433531155,2.627407824744414,-0.5837430228238598,0.30825301769354996
48,3.629575272813012e-17,0.9999999999999998,-3.113606238932731e-17,0.9999999999999998,6.47630097698008e-17,0.9999999999999999,-2.747090304521221e-16,0.9999999999999997,-2.917893846771245e-17,0.9999999999999998,7.508239044740642e-17,1.0,-7.081230189115581e-17,1.0,-5.380311580875758e-16,1.0,-0.13021502719543088,0.27554128008644885,-0.40903706424996916,0.392377548746197,-0.3600349066882387,14.15530561498304,1.1555824904894363,1.4511495411053699,-0.14810593296851893,0.6345159827760015,-0.1625912478140458,0.5437319185387073,-0.12239416068693934,0.7945139833592926,-0.6976786251484085,0.4729156548623824,-0.127977200500615,0.3719982479646873,-0.4691075063534391,0.4029059145148685,-2.2008004730103785,76.07226517458562,1.3787013600676163,1.3859245668396063,-0.1447489466961519,0.9348709705393287,-0.16346083918824736,0.7318087860883703,-0.1116877999913961,1.2959476924480389,-0.7018169617428921,0.32177225287868577,-0.1318904518027608,0.2960537681855268,-0.4667876093284936,0.32983811525254547,-1.1274488341777236,49.72142720752508,1.3220942636053072,1.4372211636889525,-0.15470415843879914,0.730519287082018,-0.17105197349543244,0.5717347665474318,-0.12580737518352658,1.0127989587019846,-0.7139948942437591,0.3558171069890725
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-349410.42079610075,4926.4656326408995,-370.58841538072835,11.433441162719106,-7.694557270511779,268.51873236180495,0.16742284487489997,0.28302788085583386,-13188.413748156525,363.6892852362681,-6970.547206093832,213.93441913711578,-6221.076542018442,149.92531690190233,-0.19672367070016303,0.06094968334413083,-349356.9473161034,6166.950750803087,-370.78935478120485,11.94374790904812,-8.300198807157058,262.4998936664751,0.17301066825936529,0.2717105604044963,-13187.01413332741,380.1181284399986,-6970.016871823659,216.5012455415601,-6220.225717465883,163.79183875354383,-0.1945953516532067,0.059906938455005054,-349391.46007604565,5154.52216544943,-370.68198545948667,12.438887569952477,-10.035171102661597,322.74547897725216,0.17256221427240045,0.27510887470529133,-13186.136144763675,411.4675392840455,-6969.375663781667,237.37625550403084,-6219.97362031516,174.2920958368164,-0.1959746031966485,0.06357644026465187
50,-2.7755575615628914e-17,1.0,0.0,0.9999999999999999,5.551115123125783e-17,1.0,-1.942890293094024e-16,1.0,-2.7755575615628914e-17,1.0000000000000002,5.551115123125783e-17,1.0,-8.326672684688674e-17,0.9999999999999999,-3.885780586188048e-16,1.0,-0.5762518930222397,0.03750166156438722,-0.6463196614273952,0.0732997189770395,-0.9116788027590041,47.99778484901144,-0.21266703657360445,1.8047481168776531,-0.5786370689345869,0.06884364307044932,-0.5813036740995824,0.06843049135253866,-0.5751804232061337,0.06939885719380667,-0.42078548545849026,0.8884159859441704,-0.5749163785760071,0.06344152130021413,-0.6470087340629286,0.09231962074156838,-1.5150804039534393,53.09918772832242,0.054067749323599264,1.6604540050296828,-0.57725184787219,0.08993256509500219,-0.5800349439141171,0.08690556380848687,-0.5736498859665651,0.09386573773243202,-0.4626899005045131,0.7304930415642479,-0.5725348073668667,0.08863238100086793,-0.6433740131853868,0.12616572962721515,-3.139803311481859,67.52544812852864,0.05047954903075365,1.5243865852823477,-0.5739389131391421,0.12453101469034804,-0.57698594855677,0.11761518685975673,-0.5700000063632462,0.13346457531422462,-0.46355897624755177,0.718102517116459
51,0.0,1.0,-2.7755575615628914e-17,1.0,-5.551115123125783e-17,1.0,1.6653345369377348e-16,1.0,8.326672684688674e-17,1.0,0.0,1.0,-5.551115123125783e-17,1.0,2.0539125955565396e-15,1.0,-0.5757522985556759,0.05392360349941049,-0.5854042734992588,0.07011998972735152,0.47376235809491724,3.485344973281252,0.6268434985715841,0.7953306249431553,-0.5752979604318731,0.07060628030625872,-0.5754069399239676,0.068357620659356,-0.5751476783872292,0.07363918707436568,1.1188063014584582,3.420555601681831,-0.5752212953004264,0.06306812944888653,-0.578214843435728,0.07984768482528502,-0.11678221354062827,20.54523197592289,0.24352888236921758,1.132405139321547,-0.5746696917996271,0.07928095623304483,-0.5747061650847779,0.07840390452405405,-0.5746094810978366,0.08047685564859715,1.4324410669629177,4.771903453786219,-0.5664298624076686,0.17808656191094926,-0.5720091549349487,0.14557621434701493,-1.0869041749780448,27.134839869343836,0.29830489246623676,1.0475872675575026,-0.5675180447525807,0.16034939793175843,-0.5682820546835005,0.14810880708408944,-0.5664864771270745,0.1767942899276137,1.2664527091515687,3.8421829526321423
52,-2.7755575615628914e-17,1.0,0.0,0.9999999999999999,-5.551115123125783e-17,1.0,-1.942890293094024e-16,1.0,-5.551115123125783e-17,1.0,2.7755575615628914e-17,1.0,8.326672684688674e-17,1.0,3.885780586188048e-16,1.0,-0.5767298010223703,0.030092578345868898,-0.6032261803402422,0.0628711907587095,0.30120841661509684,11.339792472297235,0.7698865409803638,1.8226921364644029,-0.5764208730884239,0.05725102606183445,-0.5762325474454286,0.06408748070228502,-0.5766193559760677,0.04965935027342812,-0.5617741296735513,0.3424374538577537,-0.5737733483090673,0.08317830287102661,-0.6023241304955231,0.10513167312936861,-0.057489119701740504,14.336691924598984,1.0370678742073909,1.402491882291402,-0.5731243673111606,0.10672270506117583,-0.5732498100049485,0.1041221485196295,-0.5729839803111588,0.10960805302653834,-0.5430719900622447,0.26590202984311045,-0.576387794509758,0.03017685813612728,-0.5981156781608499,0.08711719419091192,-1.5109004245185655,59.30667134867229,0.574509604625685,1.746330767740998,-0.5748364010098845,0.08408160125503694,-0.5746492333170892,0.08884178468579315,-0.5750377823881264,0.07879403952300676,-0.515003032892103,0.3572290375501907
53,9.25185853854297e-18,0.9999999999999999,-3.700743415417188e-17,1.0,0.0,0.9999999999999999,1.0269562977782698e-15,1.0,0.0,0.9999999999999998,-1.850371707708594e-17,0.9999999999999999,-5.551115123125783e-17,1.0,-3.515706244646329e-16,1.0,-0.4395797871754683,0.1328849505844854,-0.4676492605740273,0.15606645280029136,-2.740324123446169,54.561856969345854,0.4620502669533849,1.7109341629402395,-0.4388063259193132,0.15500830788578732,-0.4391998900518239,0.15115610982836153,-0.4383719123131631,0.15924264884212647,-0.38074873863865255,0.4484139453127986,1.8380162561625837,0.0,2.191269373440409,0.0,-1225.8124652653844,0.0,-1.1991828168629504,0.0,2.219328922583968,0.0,2.1503224279223283,0.0,2.295720784779477,0.0,1.1066377315501392,0.0,-0.4444960086319167,0.06831070636097052,-0.4679135383411177,0.11507747220331183,-2.944542365189489,81.40385278338984,-0.0029063238006886497,2.0787065461450434,-0.443007643776698,0.11535625793063785,-0.4432164650057751,0.11357760909438452,-0.44276694733361954,0.11732320431857021,-0.369242423046428,0.5327315877305264
54,-5.551115123125783e-17,1.0,-2.7755575615628914e-17,1.0,2.7755575615628914e-17,1.0,-3.3306690738754696e-16,0.9999999999999999,-2.7755575615628914e-17,1.0,0.0,0.9999999999999999,-2.7755575615628914e-17,1.0,-9.159339953157541e-16,0.9999999999999999,-0.256367634563118,0.06959504449692372,-0.314194207022205,0.1297416811346608,-0.7930585896247432,36.27475079995575,-0.06271256165641345,2.0746556370856144,-0.2560828518371753,0.13186998317088222,-0.25694034723308184,0.13222809562104537,-0.25495702476173215,0.13144288261025203,0.3308601840586381,3.970522673776881,-0.2565889808033521,0.06604714780539844,-0.3124142863086141,0.12307920249784342,-0.6138780342998202,32.09162088215659,-0.32920499384445673,2.287070940160792,-0.25650239731433205,0.12409943584823685,-0.2573102400859746,0.125418604060335,-0.25543243476311184,0.12242943345572135,0.284538546672154,4.322995074930402,-0.2556029644977279,0.08166498375637403,-0.31399250136091644,0.14711442497666335,-1.825425493322297,61.221567972653624,0.057728696932617014,2.020674141976963,-0.2546281786600523,0.1550838435125736,-0.2558123420123075,0.14585265633797956,-0.2530828107548663,0.1670283465837119,0.36035441193767875,4.073129962142558
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-367667.53677621286,10682.1793418391,-372.52032394077474,15.908525828432712,9.27699530516432,43.48122059391203,0.2416060122640606,0.18398362341441515,-13843.461232838723,579.2659978681547,-6990.336396036691,316.8313705071218,-6856.879432907816,262.60599653745885,-0.20323189326349492,0.05176321890517393,6524.0,0.0,20.005991310913885,0.0,-2000.0,0.0,0.01208148148148147,0.0,1248.5354148143106,0.0,769.113273055169,0.0,480.37931279444547,0.0,-0.017030485761410197,0.0,-367763.652173913,9123.711243146974,-371.44764238071735,14.240887579324035,1.407928388746803,267.7774175675304,0.1514520069314507,0.26122441674665925,-13847.1849951541,527.678839226683,-6992.608123372468,277.84662031672326,-6858.322347172743,250.05842418294088,-0.20367663471545558,0.04862391370436876
